Port Name,State,Port Code,Border,Date,Measure,Value,Year,Month,DayOfWeek
Whitetail,MT,3312,US-Canada Border,2009-07-01,Personal Vehicle Passengers,390,2009,Jul,Wed
Calexico East,CA,2507,US-Mexico Border,2014-07-01,Truck Containers Empty,12788,2014,Jul,Tue
Point Roberts,WA,3017,US-Canada Border,2012-11-01,Personal Vehicle Passengers,107610,2012,Nov,Thu
Lukeville,AZ,2602,US-Mexico Border,2004-11-01,Bus Passengers,546,2004,Nov,Mon
Porthill,ID,3308,US-Canada Border,2010-01-01,Pedestrians,43,2010,Jan,Fri
Laurier,WA,3016,US-Canada Border,2017-10-01,Train Passengers,26,2017,Oct,Sun
Tecate,CA,2505,US-Mexico Border,2000-07-01,Train Passengers,343,2000,Jul,Sat
Detroit,MI,3801,US-Canada Border,2013-10-01,Trains,261,2013,Oct,Tue
Eastport,ID,3302,US-Canada Border,2002-07-01,Personal Vehicle Passengers,33460,2002,Jul,Mon
Van Buren,ME,108,US-Canada Border,2018-02-01,Pedestrians,49,2018,Feb,Thu
Houlton,ME,106,US-Canada Border,2001-05-01,Personal Vehicles,24910,2001,May,Tue
Sasabe,AZ,2606,US-Mexico Border,2014-02-01,Truck Containers Empty,17,2014,Feb,Sat
Laredo,TX,2304,US-Mexico Border,1996-02-01,Pedestrians,294197,1996,Feb,Thu
Porthill,ID,3308,US-Canada Border,2004-01-01,Truck Containers Full,485,2004,Jan,Thu
Douglas,AZ,2601,US-Mexico Border,2018-05-01,Truck Containers Empty,563,2018,May,Tue
Andrade,CA,2502,US-Mexico Border,2011-10-01,Personal Vehicle Passengers,64159,2011,Oct,Sat
Roseau,MN,3426,US-Canada Border,2000-12-01,Truck Containers Full,761,2000,Dec,Fri
Otay Mesa,CA,2506,US-Mexico Border,2009-12-01,Trains,25,2009,Dec,Tue
Ketchikan,AK,3102,US-Canada Border,2005-06-01,Personal Vehicle Passengers,1995,2005,Jun,Wed
San Ysidro,CA,2504,US-Mexico Border,2004-04-01,Personal Vehicles,1515126,2004,Apr,Thu
Trout River,NY,715,US-Canada Border,2000-05-01,Truck Containers Full,234,2000,May,Mon
Limestone,ME,118,US-Canada Border,2006-12-01,Personal Vehicle Passengers,6941,2006,Dec,Fri
Eastport,ID,3302,US-Canada Border,2015-07-01,Bus Passengers,707,2015,Jul,Wed
Boundary,WA,3015,US-Canada Border,2006-01-01,Rail Containers Full,617,2006,Jan,Sun
Warroad,MN,3423,US-Canada Border,2013-03-01,Truck Containers Empty,496,2013,Mar,Fri
Raymond,MT,3301,US-Canada Border,1996-05-01,Bus Passengers,571,1996,May,Wed
Dunseith,ND,3422,US-Canada Border,2017-11-01,Trucks,1664,2017,Nov,Wed
Massena,NY,704,US-Canada Border,1999-05-01,Personal Vehicle Passengers,288824,1999,May,Sat
Sumas,WA,3009,US-Canada Border,2006-10-01,Trains,171,2006,Oct,Sun
Naco,AZ,2603,US-Mexico Border,2007-11-01,Pedestrians,9283,2007,Nov,Thu
Otay Mesa,CA,2506,US-Mexico Border,2010-10-01,Trucks,63144,2010,Oct,Fri
Dunseith,ND,3422,US-Canada Border,2012-12-01,Personal Vehicle Passengers,9579,2012,Dec,Sat
Sault Sainte Marie,MI,3803,US-Canada Border,2018-02-01,Personal Vehicles,46024,2018,Feb,Thu
Fort Kent,ME,110,US-Canada Border,2002-08-01,Personal Vehicles,24172,2002,Aug,Thu
Baudette,MN,3424,US-Canada Border,1997-08-01,Personal Vehicles,20383,1997,Aug,Fri
Porthill,ID,3308,US-Canada Border,2008-05-01,Personal Vehicles,15810,2008,May,Thu
Oroville,WA,3019,US-Canada Border,2004-12-01,Trucks,3155,2004,Dec,Wed
Derby Line,VT,209,US-Canada Border,2019-02-01,Personal Vehicles,25380,2019,Feb,Fri
Highgate Springs-Alburg,VT,212,US-Canada Border,2019-03-01,Trains,25,2019,Mar,Fri
Hidalgo,TX,2305,US-Mexico Border,2008-01-01,Trucks,40331,2008,Jan,Tue
Laurier,WA,3016,US-Canada Border,2015-08-01,Train Passengers,10,2015,Aug,Sat
Nogales,AZ,2604,US-Mexico Border,2005-04-01,Trucks,21030,2005,Apr,Fri
Vanceboro,ME,105,US-Canada Border,2003-05-01,Personal Vehicles,4962,2003,May,Thu
Eagle Pass,TX,2303,US-Mexico Border,1996-06-01,Trucks,4295,1996,Jun,Sat
Sault Sainte Marie,MI,3803,US-Canada Border,2006-09-01,Train Passengers,99,2006,Sep,Fri
Tecate,CA,2505,US-Mexico Border,2014-01-01,Pedestrians,65715,2014,Jan,Wed
Point Roberts,WA,3017,US-Canada Border,2005-07-01,Personal Vehicles,81955,2005,Jul,Fri
Sweetgrass,MT,3310,US-Canada Border,2017-04-01,Personal Vehicle Passengers,27316,2017,Apr,Sat
Richford,VT,203,US-Canada Border,2013-10-01,Train Passengers,22,2013,Oct,Tue
Port Huron,MI,3802,US-Canada Border,1997-04-01,Truck Containers Full,19399,1997,Apr,Tue
International Falls-Ranier,MN,3604,US-Canada Border,2018-06-01,Trucks,1557,2018,Jun,Fri
Scobey,MT,3309,US-Canada Border,2004-04-01,Trucks,93,2004,Apr,Thu
Santa Teresa,NM,2408,US-Mexico Border,2006-07-01,Personal Vehicle Passengers,90590,2006,Jul,Sat
Maida,ND,3416,US-Canada Border,2006-08-01,Personal Vehicle Passengers,3133,2006,Aug,Tue
Calais,ME,115,US-Canada Border,2002-01-01,Bus Passengers,545,2002,Jan,Tue
Hidalgo,TX,2305,US-Mexico Border,2002-12-01,Truck Containers Full,17374,2002,Dec,Sun
Brownsville,TX,2301,US-Mexico Border,2001-07-01,Truck Containers Full,10372,2001,Jul,Sun
International Falls-Ranier,MN,3604,US-Canada Border,1998-02-01,Pedestrians,5251,1998,Feb,Sun
Whitlash,MT,3321,US-Canada Border,2004-12-01,Pedestrians,2,2004,Dec,Wed
Lynden,WA,3023,US-Canada Border,2004-01-01,Truck Containers Full,2265,2004,Jan,Thu
Santa Teresa,NM,2408,US-Mexico Border,2004-03-01,Personal Vehicle Passengers,36334,2004,Mar,Mon
Danville,WA,3012,US-Canada Border,2010-03-01,Personal Vehicles,3921,2010,Mar,Mon
Ketchikan,AK,3102,US-Canada Border,2011-02-01,Truck Containers Full,24,2011,Feb,Tue
Otay Mesa,CA,2506,US-Mexico Border,2017-01-01,Personal Vehicle Passengers,1074451,2017,Jan,Sun
Eagle Pass,TX,2303,US-Mexico Border,2019-07-01,Bus Passengers,11842,2019,Jul,Mon
Van Buren,ME,108,US-Canada Border,2015-09-01,Train Passengers,68,2015,Sep,Tue
Calexico East,CA,2507,US-Mexico Border,1999-05-01,Truck Containers Full,8989,1999,May,Sat
Ferry,WA,3013,US-Canada Border,2006-05-01,Trucks,7,2006,May,Mon
Eastport,ID,3302,US-Canada Border,2007-08-01,Bus Passengers,103,2007,Aug,Wed
Ambrose,ND,3410,US-Canada Border,1998-06-01,Truck Containers Empty,1,1998,Jun,Mon
Highgate Springs-Alburg,VT,212,US-Canada Border,2016-04-01,Trains,27,2016,Apr,Fri
Eastport,ME,103,US-Canada Border,2013-08-01,Bus Passengers,315,2013,Aug,Thu
Roseau,MN,3426,US-Canada Border,2013-05-01,Trucks,790,2013,May,Wed
Scobey,MT,3309,US-Canada Border,2008-05-01,Truck Containers Full,12,2008,May,Thu
Skagway,AK,3103,US-Canada Border,2011-05-01,Buses,1400,2011,May,Sun
Norton,VT,211,US-Canada Border,2016-03-01,Rail Containers Full,772,2016,Mar,Tue
Alcan,AK,3104,US-Canada Border,2019-07-01,Trucks,706,2019,Jul,Mon
Sherwood,ND,3414,US-Canada Border,2010-07-01,Truck Containers Full,53,2010,Jul,Thu
Antler,ND,3413,US-Canada Border,2012-05-01,Personal Vehicle Passengers,2040,2012,May,Tue
Blaine,WA,3004,US-Canada Border,2005-01-01,Rail Containers Full,7569,2005,Jan,Sat
Houlton,ME,106,US-Canada Border,2009-07-01,Truck Containers Empty,1148,2009,Jul,Wed
Bridgewater,ME,127,US-Canada Border,2002-04-01,Truck Containers Empty,160,2002,Apr,Mon
Norton,VT,211,US-Canada Border,1998-04-01,Rail Containers Full,1799,1998,Apr,Wed
Hansboro,ND,3415,US-Canada Border,2016-05-01,Buses,3,2016,May,Sun
Trout River,NY,715,US-Canada Border,2013-05-01,Truck Containers Empty,726,2013,May,Wed
Highgate Springs-Alburg,VT,212,US-Canada Border,1997-01-01,Bus Passengers,5428,1997,Jan,Wed
Houlton,ME,106,US-Canada Border,2003-02-01,Bus Passengers,514,2003,Feb,Sat
Lancaster,MN,3430,US-Canada Border,2018-08-01,Personal Vehicles,3649,2018,Aug,Wed
Frontier,WA,3020,US-Canada Border,1998-03-01,Personal Vehicle Passengers,7129,1998,Mar,Sun
Warroad,MN,3423,US-Canada Border,2009-08-01,Truck Containers Empty,567,2009,Aug,Sat
Eastport,ID,3302,US-Canada Border,2018-09-01,Truck Containers Full,3976,2018,Sep,Sat
Ferry,WA,3013,US-Canada Border,2008-10-01,Buses,1,2008,Oct,Wed
Raymond,MT,3301,US-Canada Border,1997-09-01,Bus Passengers,53,1997,Sep,Mon
Warroad,MN,3423,US-Canada Border,2008-01-01,Personal Vehicles,7383,2008,Jan,Tue
Ferry,WA,3013,US-Canada Border,2012-05-01,Personal Vehicle Passengers,1646,2012,May,Tue
Beecher Falls,VT,206,US-Canada Border,2008-05-01,Pedestrians,33,2008,May,Thu
Sault Sainte Marie,MI,3803,US-Canada Border,2004-01-01,Buses,1756,2004,Jan,Thu
Sherwood,ND,3414,US-Canada Border,2004-11-01,Trucks,313,2004,Nov,Mon
Boundary,WA,3015,US-Canada Border,2017-02-01,Personal Vehicles,1880,2017,Feb,Wed
Morgan,MT,3319,US-Canada Border,1997-03-01,Trucks,134,1997,Mar,Sat
Progreso,TX,2309,US-Mexico Border,2002-06-01,Truck Containers Full,454,2002,Jun,Sat
El Paso,TX,2402,US-Mexico Border,2008-10-01,Rail Containers Empty,8360,2008,Oct,Wed
Sumas,WA,3009,US-Canada Border,2006-05-01,Truck Containers Full,12100,2006,May,Mon
Laredo,TX,2304,US-Mexico Border,2010-04-01,Trains,275,2010,Apr,Thu
Vanceboro,ME,105,US-Canada Border,2003-10-01,Train Passengers,53,2003,Oct,Wed
Oroville,WA,3019,US-Canada Border,1996-04-01,Personal Vehicle Passengers,54859,1996,Apr,Mon
Whitlash,MT,3321,US-Canada Border,2012-03-01,Personal Vehicles,41,2012,Mar,Thu
Detroit,MI,3801,US-Canada Border,2011-04-01,Personal Vehicle Passengers,576197,2011,Apr,Fri
Morgan,MT,3319,US-Canada Border,2013-04-01,Bus Passengers,53,2013,Apr,Mon
Portal,ND,3403,US-Canada Border,2000-12-01,Buses,8,2000,Dec,Fri
Highgate Springs-Alburg,VT,212,US-Canada Border,2020-02-01,Truck Containers Empty,1474,2020,Feb,Sat
Boundary,WA,3015,US-Canada Border,2017-06-01,Rail Containers Empty,498,2017,Jun,Thu
Derby Line,VT,209,US-Canada Border,1999-04-01,Personal Vehicle Passengers,119693,1999,Apr,Thu
Douglas,AZ,2601,US-Mexico Border,1999-08-01,Trucks,2358,1999,Aug,Sun
Sault Sainte Marie,MI,3803,US-Canada Border,2008-04-01,Personal Vehicles,69498,2008,Apr,Tue
Eastport,ID,3302,US-Canada Border,2001-04-01,Rail Containers Full,4773,2001,Apr,Sun
Oroville,WA,3019,US-Canada Border,2010-12-01,Personal Vehicles,18507,2010,Dec,Wed
Richford,VT,203,US-Canada Border,2006-04-01,Train Passengers,40,2006,Apr,Sat
Opheim,MT,3317,US-Canada Border,2004-08-01,Trucks,108,2004,Aug,Sun
Noonan,ND,3420,US-Canada Border,2000-08-01,Bus Passengers,86,2000,Aug,Tue
Beecher Falls,VT,206,US-Canada Border,2012-02-01,Truck Containers Empty,839,2012,Feb,Wed
Roosville,MT,3318,US-Canada Border,2005-01-01,Buses,24,2005,Jan,Sat
San Luis,AZ,2608,US-Mexico Border,2004-01-01,Truck Containers Empty,1258,2004,Jan,Thu
Roosville,MT,3318,US-Canada Border,2004-08-01,Truck Containers Full,2195,2004,Aug,Sun
Nogales,AZ,2604,US-Mexico Border,2016-08-01,Rail Containers Full,2957,2016,Aug,Mon
Presidio,TX,2403,US-Mexico Border,2000-03-01,Personal Vehicles,60559,2000,Mar,Wed
El Paso,TX,2402,US-Mexico Border,2007-09-01,Trucks,64077,2007,Sep,Sat
Port Huron,MI,3802,US-Canada Border,2019-10-01,Bus Passengers,5809,2019,Oct,Tue
Richford,VT,203,US-Canada Border,2004-10-01,Trucks,788,2004,Oct,Fri
Hansboro,ND,3415,US-Canada Border,2008-07-01,Personal Vehicle Passengers,2708,2008,Jul,Tue
Noonan,ND,3420,US-Canada Border,2015-03-01,Personal Vehicle Passengers,3928,2015,Mar,Sun
Del Bonita,MT,3322,US-Canada Border,2003-02-01,Personal Vehicles,764,2003,Feb,Sat
Ketchikan,AK,3102,US-Canada Border,2007-07-01,Truck Containers Empty,17,2007,Jul,Sun
Laredo,TX,2304,US-Mexico Border,2013-07-01,Trucks,158834,2013,Jul,Mon
Neche,ND,3404,US-Canada Border,2007-10-01,Personal Vehicle Passengers,8052,2007,Oct,Mon
Hansboro,ND,3415,US-Canada Border,2017-08-01,Trucks,22,2017,Aug,Tue
Sweetgrass,MT,3310,US-Canada Border,2001-06-01,Train Passengers,90,2001,Jun,Fri
Metaline Falls,WA,3025,US-Canada Border,2003-04-01,Truck Containers Full,566,2003,Apr,Tue
Limestone,ME,118,US-Canada Border,2016-05-01,Personal Vehicles,1769,2016,May,Sun
Eastport,ME,103,US-Canada Border,2017-03-01,Bus Passengers,25,2017,Mar,Wed
Brownsville,TX,2301,US-Mexico Border,2007-07-01,Rail Containers Full,590,2007,Jul,Sun
Rio Grande City,TX,2307,US-Mexico Border,2013-12-01,Truck Containers Full,2443,2013,Dec,Sun
Alexandria Bay,NY,708,US-Canada Border,2012-05-01,Trucks,16033,2012,May,Tue
Port Angeles,WA,3007,US-Canada Border,2006-06-01,Buses,26,2006,Jun,Thu
Maida,ND,3416,US-Canada Border,2007-07-01,Trucks,66,2007,Jul,Sun
Roma,TX,2310,US-Mexico Border,1999-08-01,Pedestrians,43943,1999,Aug,Sun
Baudette,MN,3424,US-Canada Border,2016-10-01,Train Passengers,700,2016,Oct,Sat
Eagle Pass,TX,2303,US-Mexico Border,2005-11-01,Truck Containers Empty,2830,2005,Nov,Tue
Pembina,ND,3401,US-Canada Border,2019-03-01,Trucks,19150,2019,Mar,Fri
Van Buren,ME,108,US-Canada Border,2009-04-01,Pedestrians,77,2009,Apr,Wed
